bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P787,S78,8,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0
P787,S78,8,853.01,853.01,0,1,0,0,853.01,853.01,0,0.0,0,1,0.0,0.0
P787,S78,8,853.29,0.2799999999999727,0,1,0,0,853.29,853.29,0,1.0,0,2,0.0,1.2799999999999727
P787,S78,8,853.51,0.22000000000002728,0,1,0,0,853.51,853.51,0,2.2799999999999727,0,3,0.0,2.5
P787,S78,8,853.76,0.25,0,1,0,0,853.76,853.76,0,3.5,0,4,0.0,3.75
P787,S78,8,854.06,0.2999999999999545,0,1,0,0,854.06,854.06,0,4.75,0,5,0.0,5.0499999999999545
P787,S78,8,854.43,0.37000000000000455,0,1,0,0,854.43,854.43,0,6.0499999999999545,0,6,0.0,6.419999999999959
P787,S78,8,854.7,0.2700000000000955,0,1,0,0,854.7,854.7,0,7.419999999999959,0,7,0.0,7.690000000000055
P787,S78,8,855.01,0.30999999999994543,0,1,0,0,855.01,855.01,0,8.690000000000055,0,8,0.0,9.0
P787,S78,8,855.75,0.7400000000000091,0,1,0,0,855.75,855.75,0,10.0,0,9,0.0,10.740000000000009
P787,S78,8,856.08,0.3300000000000409,0,1,0,0,856.08,856.08,0,11.740000000000009,0,10,0.0,12.07000000000005
P787,S78,8,856.49,0.40999999999996817,0,1,0,0,856.49,856.49,0,13.07000000000005,0,11,0.0,13.480000000000018
P787,S78,8,858.69,2.2000000000000455,1,0,0,0,858.69,858.69,0,0.0,1,11,0.0,0.0
P787,S78,8,858.93,0.2399999999998954,1,0,0,0,858.93,858.93,1,0.0,2,11,0.2399999999998954,0.0
P787,S78,8,859.13,0.20000000000004547,1,0,0,0,859.13,859.13,2,0.0,3,11,0.4399999999999409,0.0
P787,S78,8,859.38,0.25,1,0,0,0,859.38,859.38,3,0.0,4,11,0.6899999999999409,0.0
P787,S78,8,859.73,0.35000000000002274,1,0,0,0,859.73,859.73,4,0.0,5,11,1.0399999999999636,0.0
P787,S78,8,860.01,0.2799999999999727,1,0,0,0,860.01,860.01,5,0.0,6,11,1.3199999999999363,0.0
P787,S78,8,860.33,0.32000000000005,1,0,0,0,860.33,860.33,6,0.0,7,11,1.6399999999999864,0.0
P787,S78,8,860.77,0.4399999999999409,1,0,0,0,860.77,860.77,7,0.0,8,11,2.0799999999999272,0.0
P787,S78,8,861.15,0.37999999999999545,1,0,0,0,861.15,861.15,8,0.0,9,11,2.4599999999999227,0.0
P787,S78,8,861.55,0.39999999999997726,1,0,0,0,861.55,861.55,9,0.0,10,11,2.8599999999999,0.0
P787,S78,8,861.57,0.020000000000095497,1,0,0,0,861.57,861.57,10,0.0,11,11,2.8799999999999955,0.0
P787,S78,8,862.62,1.0499999999999545,0,1,0,0,862.62,862.62,0,0.0,11,12,0.0,0.0
P787,S78,8,863.02,0.39999999999997726,0,1,0,0,863.02,863.02,0,1.0,11,13,0.0,1.3999999999999773
P787,S78,8,863.67,0.6499999999999773,0,1,0,0,863.67,863.67,0,2.3999999999999773,11,14,0.0,3.0499999999999545
P787,S78,8,863.91,0.2400000000000091,0,1,0,0,863.91,863.91,0,4.0499999999999545,11,15,0.0,4.289999999999964
P787,S78,8,864.65,0.7400000000000091,0,1,0,0,864.65,864.65,0,5.289999999999964,11,16,0.0,6.029999999999973
P787,S78,8,864.86,0.21000000000003638,0,1,0,0,864.86,864.86,0,7.029999999999973,11,17,0.0,7.240000000000009
P787,S78,8,864.97,0.11000000000001364,0,1,0,0,864.97,864.97,0,8.240000000000009,11,18,0.0,8.350000000000023
P787,S78,8,865.1,0.12999999999999545,0,1,0,0,865.1,865.1,0,9.350000000000023,11,19,0.0,9.480000000000018
P787,S78,8,865.38,0.2799999999999727,0,1,0,0,865.38,865.38,0,10.480000000000018,11,20,0.0,10.759999999999991
P787,S78,8,865.71,0.3300000000000409,0,1,0,0,865.71,865.71,0,11.759999999999991,11,21,0.0,12.090000000000032
P787,S78,8,865.91,0.1999999999999318,0,1,0,0,865.91,865.91,0,13.090000000000032,11,22,0.0,13.289999999999964
P787,S78,8,866.04,0.12999999999999545,0,1,0,0,866.04,866.04,0,14.289999999999964,11,23,0.0,14.419999999999959
P787,S78,8,866.19,0.15000000000009095,0,1,0,0,866.19,866.19,0,15.419999999999959,11,24,0.0,15.57000000000005
P787,S78,8,866.33,0.13999999999998636,0,1,0,0,866.33,866.33,0,16.57000000000005,11,25,0.0,16.710000000000036
P787,S78,8,866.63,0.2999999999999545,0,1,0,0,866.63,866.63,0,17.710000000000036,11,26,0.0,18.00999999999999
P787,S78,8,866.97,0.34000000000003183,0,1,0,0,866.97,866.97,0,19.00999999999999,11,27,0.0,19.350000000000023
P787,S78,8,867.32,0.35000000000002274,0,1,0,0,867.32,867.32,0,20.350000000000023,11,28,0.0,20.700000000000045
P787,S78,8,867.88,0.5599999999999454,0,1,0,0,867.88,867.88,0,21.700000000000045,11,29,0.0,22.25999999999999
P787,S78,8,869.04,1.1599999999999682,0,1,0,0,869.04,869.04,0,23.25999999999999,11,30,0.0,24.41999999999996
P787,S78,8,869.27,0.2300000000000182,0,1,0,0,869.27,869.27,0,25.41999999999996,11,31,0.0,25.649999999999977
P787,S78,8,869.5,0.2300000000000182,0,1,0,0,869.5,869.5,0,26.649999999999977,11,32,0.0,26.879999999999995
