bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P423,S51,8,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0
P423,S51,8,1885.57,1885.57,1,0,0,0,1885.57,1885.57,0,0.0,1,0,0.0,0.0
P423,S51,8,1885.66,0.09000000000014552,1,0,0,0,1885.66,1885.66,1,0.0,2,0,0.09000000000014552,0.0
P423,S51,8,1885.8,0.13999999999987267,1,0,0,0,1885.8,1885.8,2,0.0,3,0,0.2300000000000182,0.0
P423,S51,8,1886.06,0.2599999999999909,1,0,0,0,1886.06,1886.06,3,0.0,4,0,0.4900000000000091,0.0
P423,S51,8,1887.52,1.4600000000000364,0,1,0,0,1887.52,1887.52,0,0.0,4,1,0.0,0.0
P423,S51,8,1887.73,0.21000000000003638,0,1,0,0,1887.73,1887.73,0,1.0,4,2,0.0,1.2100000000000364
P423,S51,8,1887.87,0.13999999999987267,0,1,0,0,1887.87,1887.87,0,2.2100000000000364,4,3,0.0,2.349999999999909
P423,S51,8,1888.01,0.14000000000010004,0,1,0,0,1888.01,1888.01,0,3.349999999999909,4,4,0.0,3.490000000000009
P423,S51,8,1888.16,0.15000000000009095,0,1,0,0,1888.16,1888.16,0,4.490000000000009,4,5,0.0,4.6400000000001
P423,S51,8,1888.29,0.12999999999988177,0,1,0,0,1888.29,1888.29,0,5.6400000000001,4,6,0.0,5.769999999999982
P423,S51,8,1888.51,0.22000000000002728,0,1,0,0,1888.51,1888.51,0,6.769999999999982,4,7,0.0,6.990000000000009
P423,S51,8,1888.62,0.10999999999989996,0,1,0,0,1888.62,1888.62,0,7.990000000000009,4,8,0.0,8.099999999999909
P423,S51,8,1888.74,0.12000000000011823,0,1,0,0,1888.74,1888.74,0,9.099999999999909,4,9,0.0,9.220000000000027
P423,S51,8,1888.88,0.14000000000010004,0,1,0,0,1888.88,1888.88,0,10.220000000000027,4,10,0.0,10.360000000000127
P423,S51,8,1889.01,0.12999999999988177,0,1,0,0,1889.01,1889.01,0,11.360000000000127,4,11,0.0,11.490000000000009
P423,S51,8,1889.19,0.18000000000006366,0,1,0,0,1889.19,1889.19,0,12.490000000000009,4,12,0.0,12.670000000000073
P423,S51,8,1889.29,0.09999999999990905,0,1,0,0,1889.29,1889.29,0,13.670000000000073,4,13,0.0,13.769999999999982
P423,S51,8,1889.71,0.42000000000007276,0,1,0,0,1889.71,1889.71,0,14.769999999999982,4,14,0.0,15.190000000000055
P423,S51,8,1889.89,0.18000000000006366,0,1,0,0,1889.89,1889.89,0,16.190000000000055,4,15,0.0,16.37000000000012
P423,S51,8,1890.21,0.31999999999993634,0,1,0,0,1890.21,1890.21,0,17.37000000000012,4,16,0.0,17.690000000000055
P423,S51,8,1890.36,0.14999999999986358,0,1,0,0,1890.36,1890.36,0,18.690000000000055,4,17,0.0,18.839999999999918
P423,S51,8,1890.65,0.290000000000191,0,1,0,0,1890.65,1890.65,0,19.839999999999918,4,18,0.0,20.13000000000011
P423,S51,8,1890.95,0.2999999999999545,0,1,0,0,1890.95,1890.95,0,21.13000000000011,4,19,0.0,21.430000000000064
P423,S51,8,1891.24,0.2899999999999636,0,1,0,0,1891.24,1891.24,0,22.430000000000064,4,20,0.0,22.720000000000027
P423,S51,8,1892.43,1.1900000000000546,0,1,0,0,1892.43,1892.43,0,23.720000000000027,4,21,0.0,24.910000000000082
P423,S51,8,1892.52,0.08999999999991815,0,1,0,0,1892.52,1892.52,0,25.910000000000082,4,22,0.0,26.0
P423,S51,8,1892.63,0.11000000000012733,0,1,0,0,1892.63,1892.63,0,27.0,4,23,0.0,27.110000000000127
P423,S51,8,1892.77,0.13999999999987267,0,1,0,0,1892.77,1892.77,0,28.110000000000127,4,24,0.0,28.25
P423,S51,8,1893.02,0.25,0,1,0,0,1893.02,1893.02,0,29.25,4,25,0.0,29.5
P423,S51,8,1893.24,0.22000000000002728,0,1,0,0,1893.24,1893.24,0,30.5,4,26,0.0,30.720000000000027
P423,S51,8,1893.41,0.17000000000007276,0,1,0,0,1893.41,1893.41,0,31.720000000000027,4,27,0.0,31.8900000000001
P423,S51,8,1893.79,0.37999999999988177,0,1,0,0,1893.79,1893.79,0,32.8900000000001,4,28,0.0,33.26999999999998
P423,S51,8,1893.89,0.10000000000013642,0,1,0,0,1893.89,1893.89,0,34.26999999999998,4,29,0.0,34.37000000000012
P423,S51,8,1894.38,0.4900000000000091,0,1,0,0,1894.38,1894.38,0,35.37000000000012,4,30,0.0,35.86000000000013
P423,S51,8,1894.47,0.08999999999991815,0,1,0,0,1894.47,1894.47,0,36.86000000000013,4,31,0.0,36.950000000000045
